axis,constant_mm,total,v1_position,v2_position,v1_pose,v2_pose,position_delta_pp,pose_delta_pp
X,-500,1,0,0,0,0,0.000000,0.000000
X,-475,121,0,0,0,0,0.000000,0.000000
X,-450,241,0,0,0,0,0.000000,0.000000
X,-425,349,0,0,0,0,0.000000,0.000000
X,-400,441,0,0,0,0,0.000000,0.000000
X,-375,553,21,45,0,0,4.339964,0.000000
X,-350,641,114,137,0,0,3.588144,0.000000
X,-325,725,202,216,0,0,1.931034,0.000000
X,-300,797,283,286,0,0,0.376412,0.000000
X,-275,877,353,348,0,0,-0.570125,0.000000
X,-250,949,423,367,0,0,-5.900948,0.000000
X,-225,997,482,377,0,0,-10.531595,0.000000
X,-200,1049,540,391,0,0,-14.204004,0.000000
X,-175,1101,579,389,0,0,-17.257039,0.000000
X,-150,1137,617,402,0,0,-18.909411,0.000000
X,-125,1185,647,523,0,0,-10.464135,0.000000
X,-100,1201,675,613,0,0,-5.162365,0.000000
X,-75,1225,698,656,10,12,-3.428571,0.163265
X,-50,1237,705,702,10,14,-0.242522,0.323363
X,-25,1245,695,718,18,26,1.847390,0.642570
X,0,1257,701,729,66,79,2.227526,1.034208
X,25,1245,711,745,69,81,2.730924,0.963855
X,50,1237,715,754,204,231,3.152789,2.182700
X,75,1225,725,762,201,234,3.020408,2.693878
X,100,1201,709,744,199,252,2.914238,4.412989
X,125,1185,682,723,190,258,3.459916,5.738397
X,150,1137,655,686,207,248,2.726473,3.605981
X,175,1101,620,658,205,258,3.451408,4.813806
X,200,1049,580,609,201,262,2.764538,5.815062
X,225,997,538,565,213,261,2.708124,4.814443
X,250,949,480,509,215,264,3.055848,5.163330
X,275,877,423,441,235,263,2.052452,3.192702
X,300,797,353,378,250,258,3.136763,1.003764
X,325,725,283,299,203,225,2.206897,3.034483
X,350,641,198,225,143,171,4.212168,4.368175
X,375,553,108,137,85,104,5.244123,3.435805
X,400,441,17,41,11,31,5.442177,4.535147
X,425,349,0,0,0,0,0.000000,0.000000
X,450,241,0,0,0,0,0.000000,0.000000
X,475,121,0,0,0,0,0.000000,0.000000
X,500,1,0,0,0,0,0.000000,0.000000
Y,-500,1,0,0,0,0,0.000000,0.000000
Y,-475,121,0,0,0,0,0.000000,0.000000
Y,-450,241,0,0,0,0,0.000000,0.000000
Y,-425,349,0,0,0,0,0.000000,0.000000
Y,-400,441,0,0,0,0,0.000000,0.000000
Y,-375,553,65,87,18,26,3.978300,1.446655
Y,-350,641,157,176,49,55,2.964119,0.936037
Y,-325,725,241,258,77,85,2.344828,1.103448
Y,-300,797,315,336,101,112,2.634881,1.380176
Y,-275,877,388,401,113,117,1.482326,0.456100
Y,-250,949,452,464,105,118,1.264489,1.369863
Y,-225,997,507,517,103,121,1.003009,1.805416
Y,-200,1049,556,570,92,117,1.334604,2.383222
Y,-175,1101,601,601,86,112,0.000000,2.361490
Y,-150,1137,633,628,101,126,-0.439754,2.198769
Y,-125,1185,675,636,115,156,-3.291139,3.459916
Y,-100,1201,690,652,110,140,-3.164030,2.497918
Y,-75,1225,709,659,111,137,-4.081633,2.122449
Y,-50,1237,719,657,113,140,-5.012126,2.182700
Y,-25,1245,707,625,115,136,-6.586345,1.686747
Y,0,1257,704,609,112,136,-7.557677,1.909308
Y,25,1245,706,630,116,138,-6.104418,1.767068
Y,50,1237,716,670,115,140,-3.718674,2.021019
Y,75,1225,711,675,112,138,-2.938776,2.122449
