constant_axis,constant_mm,total,position_found,pose_found,position_percent,pose_percent,pose_near_singular,orientation_unresolved,collision_candidates_only,position_unresolved,witness_margin_below_1deg,svg
X,-500.000000,1,0,0,0.00000,0.00000,0,0,0,1,0,slices/X_minus_500mm.svg
X,-475.000000,121,0,0,0.00000,0.00000,0,0,0,121,0,slices/X_minus_475mm.svg
X,-450.000000,241,0,0,0.00000,0.00000,0,0,0,241,0,slices/X_minus_450mm.svg
X,-425.000000,349,0,0,0.00000,0.00000,0,0,0,349,0,slices/X_minus_425mm.svg
X,-400.000000,441,0,0,0.00000,0.00000,0,0,0,441,0,slices/X_minus_400mm.svg
X,-375.000000,553,21,0,3.79747,0.00000,0,21,0,532,3,slices/X_minus_375mm.svg
X,-350.000000,641,114,0,17.78471,0.00000,0,114,0,527,12,slices/X_minus_350mm.svg
X,-325.000000,725,202,0,27.86207,0.00000,0,202,0,523,23,slices/X_minus_325mm.svg
X,-300.000000,797,283,0,35.50816,0.00000,0,283,0,514,23,slices/X_minus_300mm.svg
X,-275.000000,877,353,0,40.25086,0.00000,0,353,0,524,17,slices/X_minus_275mm.svg
X,-250.000000,949,423,0,44.57323,0.00000,0,423,0,526,28,slices/X_minus_250mm.svg
X,-225.000000,997,482,0,48.34504,0.00000,0,482,0,515,15,slices/X_minus_225mm.svg
X,-200.000000,1049,540,0,51.47760,0.00000,0,540,0,509,31,slices/X_minus_200mm.svg
X,-175.000000,1101,579,0,52.58856,0.00000,0,579,0,522,24,slices/X_minus_175mm.svg
X,-150.000000,1137,617,0,54.26561,0.00000,0,617,0,520,34,slices/X_minus_150mm.svg
X,-125.000000,1185,647,0,54.59916,0.00000,0,647,0,538,39,slices/X_minus_125mm.svg
X,-100.000000,1201,675,0,56.20316,0.00000,0,675,0,526,51,slices/X_minus_100mm.svg
X,-75.000000,1225,698,10,56.97959,0.81633,2,688,3,524,56,slices/X_minus_75mm.svg
X,-50.000000,1237,705,10,56.99272,0.80841,2,695,6,526,63,slices/X_minus_50mm.svg
X,-25.000000,1245,695,18,55.82329,1.44578,2,677,22,528,62,slices/X_minus_25mm.svg
X,0.000000,1257,701,66,55.76770,5.25060,2,635,26,530,90,slices/X_plus_0mm.svg
X,25.000000,1245,711,69,57.10843,5.54217,2,642,20,514,70,slices/X_plus_25mm.svg
X,50.000000,1237,715,204,57.80113,16.49151,10,511,13,509,42,slices/X_plus_50mm.svg
X,75.000000,1225,725,201,59.18367,16.40816,13,524,0,500,39,slices/X_plus_75mm.svg
X,100.000000,1201,709,199,59.03414,16.56953,8,510,0,492,30,slices/X_plus_100mm.svg
X,125.000000,1185,682,190,57.55274,16.03376,3,492,0,503,28,slices/X_plus_125mm.svg
X,150.000000,1137,655,207,57.60774,18.20580,22,448,0,482,23,slices/X_plus_150mm.svg
X,175.000000,1101,620,205,56.31244,18.61944,33,415,0,481,19,slices/X_plus_175mm.svg
