protocol_schema_version,opportunity_id,run_id,reset_index,scene_id,target_order,target_object,target_instance_id,coco_class,coco_class_id,object_position,method,roadmap_seed,graph_node_budget,attempt_index,query_id,target_environment_node_id,scene_snapshot_sha256,development_or_confirmatory,execution_expected
1,run_001_t01,run_001,1,scene_001,1,bottle,O1,bottle,39,P1,gng,0,500,1,,,,pilot,preview_only_until_gate_C
1,run_001_t02,run_001,1,scene_001,2,cup,O2,cup,41,P2,gng,0,500,1,,,,pilot,preview_only_until_gate_C
1,run_001_t03,run_001,1,scene_001,3,banana,O3,banana,46,P3,gng,0,500,1,,,,pilot,preview_only_until_gate_C
1,run_001_t04,run_001,1,scene_001,4,remote,O4,remote,65,P4,gng,0,500,1,,,,pilot,preview_only_until_gate_C
1,run_002_t01,run_002,2,scene_002,1,cup,O2,cup,41,P3,gng,0,500,1,,,,pilot,preview_only_until_gate_C
1,run_002_t02,run_002,2,scene_002,2,bottle,O1,bottle,39,P2,gng,0,500,1,,,,pilot,preview_only_until_gate_C
1,run_002_t03,run_002,2,scene_002,3,remote,O4,remote,65,P1,gng,0,500,1,,,,pilot,preview_only_until_gate_C
1,run_002_t04,run_002,2,scene_002,4,banana,O3,banana,46,P4,gng,0,500,1,,,,pilot,preview_only_until_gate_C
1,run_003_t01,run_003,3,scene_003,1,banana,O3,banana,46,P1,gng,0,500,1,,,,pilot,preview_only_until_gate_C
1,run_003_t02,run_003,3,scene_003,2,remote,O4,remote,65,P2,gng,0,500,1,,,,pilot,preview_only_until_gate_C
1,run_003_t03,run_003,3,scene_003,3,bottle,O1,bottle,39,P3,gng,0,500,1,,,,pilot,preview_only_until_gate_C
1,run_003_t04,run_003,3,scene_003,4,cup,O2,cup,41,P4,gng,0,500,1,,,,pilot,preview_only_until_gate_C
1,run_004_t01,run_004,4,scene_004,1,remote,O4,remote,65,P3,gng,0,500,1,,,,pilot,preview_only_until_gate_C
1,run_004_t02,run_004,4,scene_004,2,banana,O3,banana,46,P2,gng,0,500,1,,,,pilot,preview_only_until_gate_C
1,run_004_t03,run_004,4,scene_004,3,cup,O2,cup,41,P1,gng,0,500,1,,,,pilot,preview_only_until_gate_C
1,run_004_t04,run_004,4,scene_004,4,bottle,O1,bottle,39,P4,gng,0,500,1,,,,pilot,preview_only_until_gate_C
1,run_005_t01,run_005,5,scene_005,1,bottle,O1,bottle,39,P1,gng,0,500,1,,,,pilot,preview_only_until_gate_C
1,run_005_t02,run_005,5,scene_005,2,cup,O2,cup,41,P2,gng,0,500,1,,,,pilot,preview_only_until_gate_C
1,run_005_t03,run_005,5,scene_005,3,banana,O3,banana,46,P3,gng,0,500,1,,,,pilot,preview_only_until_gate_C
1,run_005_t04,run_005,5,scene_005,4,remote,O4,remote,65,P4,gng,0,500,1,,,,pilot,preview_only_until_gate_C
1,run_006_t01,run_006,6,scene_006,1,cup,O2,cup,41,P3,gng,0,500,1,,,,pilot,preview_only_until_gate_C
1,run_006_t02,run_006,6,scene_006,2,bottle,O1,bottle,39,P2,gng,0,500,1,,,,pilot,preview_only_until_gate_C
1,run_006_t03,run_006,6,scene_006,3,remote,O4,remote,65,P1,gng,0,500,1,,,,pilot,preview_only_until_gate_C
1,run_006_t04,run_006,6,scene_006,4,banana,O3,banana,46,P4,gng,0,500,1,,,,pilot,preview_only_until_gate_C
1,run_007_t01,run_007,7,scene_007,1,banana,O3,banana,46,P1,gng,0,500,1,,,,pilot,preview_only_until_gate_C
1,run_007_t02,run_007,7,scene_007,2,remote,O4,remote,65,P2,gng,0,500,1,,,,pilot,preview_only_until_gate_C
1,run_007_t03,run_007,7,scene_007,3,bottle,O1,bottle,39,P3,gng,0,500,1,,,,pilot,preview_only_until_gate_C
1,run_007_t04,run_007,7,scene_007,4,cup,O2,cup,41,P4,gng,0,500,1,,,,pilot,preview_only_until_gate_C
1,run_008_t01,run_008,8,scene_008,1,remote,O4,remote,65,P3,gng,0,500,1,,,,pilot,preview_only_until_gate_C
1,run_008_t02,run_008,8,scene_008,2,banana,O3,banana,46,P2,gng,0,500,1,,,,pilot,preview_only_until_gate_C
1,run_008_t03,run_008,8,scene_008,3,cup,O2,cup,41,P1,gng,0,500,1,,,,pilot,preview_only_until_gate_C
1,run_008_t04,run_008,8,scene_008,4,bottle,O1,bottle,39,P4,gng,0,500,1,,,,pilot,preview_only_until_gate_C
1,run_009_t01,run_009,9,scene_009,1,bottle,O1,bottle,39,P1,gng,0,500,1,,,,pilot,preview_only_until_gate_C
1,run_009_t02,run_009,9,scene_009,2,cup,O2,cup,41,P2,gng,0,500,1,,,,pilot,preview_only_until_gate_C
1,run_009_t03,run_009,9,scene_009,3,banana,O3,banana,46,P3,gng,0,500,1,,,,pilot,preview_only_until_gate_C
1,run_009_t04,run_009,9,scene_009,4,remote,O4,remote,65,P4,gng,0,500,1,,,,pilot,preview_only_until_gate_C
1,run_010_t01,run_010,10,scene_010,1,cup,O2,cup,41,P3,gng,0,500,1,,,,pilot,preview_only_until_gate_C
1,run_010_t02,run_010,10,scene_010,2,bottle,O1,bottle,39,P2,gng,0,500,1,,,,pilot,preview_only_until_gate_C
1,run_010_t03,run_010,10,scene_010,3,remote,O4,remote,65,P1,gng,0,500,1,,,,pilot,preview_only_until_gate_C
1,run_010_t04,run_010,10,scene_010,4,banana,O3,banana,46,P4,gng,0,500,1,,,,pilot,preview_only_until_gate_C
1,run_011_t01,run_011,11,scene_011,1,banana,O3,banana,46,P1,gng,0,500,1,,,,pilot,preview_only_until_gate_C
1,run_011_t02,run_011,11,scene_011,2,remote,O4,remote,65,P2,gng,0,500,1,,,,pilot,preview_only_until_gate_C
1,run_011_t03,run_011,11,scene_011,3,bottle,O1,bottle,39,P3,gng,0,500,1,,,,pilot,preview_only_until_gate_C
1,run_011_t04,run_011,11,scene_011,4,cup,O2,cup,41,P4,gng,0,500,1,,,,pilot,preview_only_until_gate_C
1,run_012_t01,run_012,12,scene_012,1,remote,O4,remote,65,P3,gng,0,500,1,,,,pilot,preview_only_until_gate_C
1,run_012_t02,run_012,12,scene_012,2,banana,O3,banana,46,P2,gng,0,500,1,,,,pilot,preview_only_until_gate_C
1,run_012_t03,run_012,12,scene_012,3,cup,O2,cup,41,P1,gng,0,500,1,,,,pilot,preview_only_until_gate_C
1,run_012_t04,run_012,12,scene_012,4,bottle,O1,bottle,39,P4,gng,0,500,1,,,,pilot,preview_only_until_gate_C
