metric,direction,method_a,method_b,analysis_population,n_pairs,a_mean,a_sd,a_median,b_mean,b_sd,b_median,mean_difference_a_minus_b,mean_difference_ci_low,mean_difference_ci_high,median_difference_a_minus_b,median_difference_ci_low,median_difference_ci_high,rank_biserial_positive_favors_a,wilcoxon_statistic,wilcoxon_p_raw,sign_test_p_sensitivity,wilcoxon_p_holm_within_metric
components,lower,guarded_gng,gng,all paired seeds,50,12.08,3.0761757334159476,12.0,1.48,0.7886956423909863,1.0,10.6,9.76,11.48,10.0,9.0,11.0,-1.0,0.0,7.096701325956424e-10,1.7763568394002505e-15,2.129010397786927e-09
components,lower,guarded_gng,halton_prm,all paired seeds,50,12.08,3.0761757334159476,12.0,12.14,3.1944467120173354,12.0,-0.06,-1.28,1.18,-0.5,-2.0,1.0,0.025252525252525252,596.5,0.7678347372114439,0.4513808323961257,0.7678347372114439
components,lower,gng,halton_prm,all paired seeds,50,1.48,0.7886956423909863,1.0,12.14,3.1944467120173354,12.0,-10.66,-11.6,-9.72,-11.0,-12.0,-10.0,1.0,0.0,7.122583164248499e-10,1.7763568394002505e-15,2.129010397786927e-09
edges,higher,guarded_gng,gng,all paired seeds,50,3618.2,73.56490955861597,3627.0,4540.48,37.835433128219904,4541.0,-922.28,-945.22,-899.5795,-919.5,-940.0,-887.0,-1.0,0.0,7.551804758280675e-10,1.7763568394002505e-15,2.2650291658618385e-09
edges,higher,guarded_gng,halton_prm,all paired seeds,50,3618.2,73.56490955861597,3627.0,3255.66,47.863159536498706,3257.0,362.54,336.32,388.66,365.0,334.5,394.0,1.0,0.0,7.551804758280675e-10,1.7763568394002505e-15,2.2650291658618385e-09
edges,higher,gng,halton_prm,all paired seeds,50,4540.48,37.835433128219904,4541.0,3255.66,47.863159536498706,3257.0,1284.82,1267.9,1302.32,1285.0,1261.0,1296.5,1.0,0.0,7.550097219539461e-10,1.7763568394002505e-15,2.2650291658618385e-09
build_time_ms,lower,guarded_gng,gng,all paired seeds,50,1631.6924608,50.067456765326575,1625.6652960000001,1739.8740761599997,46.723757694690384,1735.137856,-108.18161536000001,-129.29202529600002,-87.60110988800012,-110.36433599999998,-120.76430400000004,-92.52710400000001,0.9592156862745098,26.0,1.8989254613188677e-12,4.461782054931973e-10,1.8989254613188677e-12
build_time_ms,lower,guarded_gng,halton_prm,all paired seeds,50,1631.6924608,50.067456765326575,1625.6652960000001,1407.25748352,34.62830204283504,1402.217024,224.43497727999994,206.08149035199997,242.69907927999995,227.11483199999986,212.9216,240.09388799999988,-1.0,0.0,1.7763568394002505e-15,1.7763568394002505e-15,5.329070518200751e-15
build_time_ms,lower,gng,halton_prm,all paired seeds,50,1739.8740761599997,46.723757694690384,1735.137856,1407.25748352,34.62830204283504,1402.217024,332.61659264,320.48575707199996,345.99904352,327.51145599999995,317.0483199999999,348.490624,-1.0,0.0,1.7763568394002505e-15,1.7763568394002505e-15,5.329070518200751e-15
clear_planning_time_ms,lower,guarded_gng,gng,both clear_valid=true,50,3.01934976,0.46824837300307065,2.9360480000000004,3.28624512,0.7131542113780373,3.087856,-0.26689536,-0.5510733919999999,-0.011220192000000028,-0.1361920000000001,-0.305296,-0.01593599999999995,0.2752941176470588,462.0,0.09130577606126522,0.06490864707227217,0.09130577606126522
