method,metric,unit,estimate,numerator_or_sum,eligible_or_count,ci_level,ci_lower,ci_upper,raw_n,raw_mean,raw_sd,raw_median,raw_q1,raw_q3,raw_min,raw_max
gng,clear_success,proportion,0.7494444444444445,2698.0,3600,0.95,0.7377777777777778,0.7611111111111111,3600,0.7494444444444445,0.43339317488502727,1.0,0.0,1.0,0.0,1.0
gng,dynamic_success,proportion,0.7377777777777778,2656.0,3600,0.95,0.7258333333333333,0.7497222222222222,3600,0.7377777777777778,0.43990394712460873,1.0,0.0,1.0,0.0,1.0
gng,conditional_retention,proportion,0.9840622683469237,2655.0,2698,0.95,0.9783420463032113,0.9892988929889299,2698,0.9840622683469237,0.12525787643711542,1.0,1.0,1.0,0.0,1.0
gng,path_change_joint_success,proportion,0.3736346516007533,992.0,2655,0.95,0.3515242754986827,0.3958492520342536,2655,0.3736346516007533,0.483859462558271,0.0,0.0,1.0,0.0,1.0
gng,build_time_ms,ms,1736.9112597333333,104214.675584,60,0.95,1724.61316684,1750.9808036933339,60,1736.9112597333333,52.469875905520546,1721.4705920000001,1708.056312,1743.5308400000001,1663.173184,1911.985568
gng,planning_time_clear_ms,ms,5.142825334321722,13875.342752000004,2698,0.95,5.085933398246786,5.200014312083573,2698,5.14282533432172,1.294986184119699,5.074176,4.243016,5.962008000000001,1.539744,13.647776
gng,planning_time_dynamic_ms,ms,14.079650433734942,37395.551552000004,2656,0.95,13.964690197161866,14.191124558929076,2656,14.079650433734939,6.786206039242603,11.738576,8.504024000000001,18.820168,4.115072,62.835424
gng,query_latency_clear_ms,ms,6.709282879738668,24153.418367059203,3600,0.95,6.584172202375864,6.834543819849488,3600,6.709282879738668,3.552211151790384,6.76339199708309,4.48823998158332,8.241511997766793,1.060959999449551,43.457280000438914
gng,query_latency_dynamic_ms,ms,16.067835413074743,57844.20748706907,3600,0.95,15.905735355404735,16.227955655122866,3600,16.067835413074743,7.8270478341047625,14.165343993226998,9.994831998483278,21.20551999541931,1.865055994130671,65.36419200710952
gng,path_cost_clear,joint-space cost,11.529211651673705,31105.813036215655,2698,0.95,11.399688979760215,11.656483715658089,2698,11.529211651673704,3.369180929125195,11.558300513790053,9.219291126071104,13.951250163825376,1.5373529304648674,26.147618011925555
gng,path_cost_dynamic,joint-space cost,12.158925200702223,32294.105333065105,2656,0.95,12.030649507282918,12.290021202152559,2656,12.158925200702225,3.400533397278202,12.227399079379346,9.741645142146638,14.567779532868032,1.5373529304648674,26.207127447120325
guarded_gng,clear_success,proportion,0.7811111111111111,2812.0,3600,0.95,0.7633333333333333,0.7988888888888889,3600,0.7811111111111111,0.4135505409141689,1.0,1.0,1.0,0.0,1.0
guarded_gng,dynamic_success,proportion,0.7744444444444445,2788.0,3600,0.95,0.7569444444444444,0.7916666666666666,3600,0.7744444444444445,0.4180057208777755,1.0,1.0,1.0,0.0,1.0
guarded_gng,conditional_retention,proportion,0.9911095305832148,2787.0,2812,0.95,0.9863349684653119,0.9953405017921146,2812,0.9911095305832148,0.09388590732722796,1.0,1.0,1.0,0.0,1.0
guarded_gng,path_change_joint_success,proportion,0.32687477574452817,911.0,2787,0.95,0.30510314875135724,0.34920099357718326,2787,0.32687477574452817,0.46915523327934955,0.0,0.0,1.0,0.0,1.0
guarded_gng,build_time_ms,ms,1599.7489450666667,95984.936704,60,0.95,1590.4039711466667,1609.8958562933333,60,1599.7489450666665,38.673912192825966,1594.114896,1576.629688,1618.277904,1538.008032,1744.095168
guarded_gng,planning_time_clear_ms,ms,6.036147926031293,16973.647967999997,2812,0.95,5.956652444684583,6.1158352608631645,2812,6.036147926031295,2.018621857915175,5.848256,4.609824000000001,7.1462,1.157216,18.262656
guarded_gng,planning_time_dynamic_ms,ms,14.752362410329985,41129.5864,2788,0.95,14.626657735596423,14.875653423126005,2788,14.752362410329985,6.747310676846784,12.572096,9.21964,19.791448000000003,3.392384,56.229632
guarded_gng,query_latency_clear_ms,ms,7.369784595317065,26531.224543141434,3600,0.95,7.231203115971463,7.510899838180194,3600,7.369784595317065,3.4583445887665465,7.39407999208197,4.890335985692218,9.30644801701419,1.0528639832045883,32.61001600185409
guarded_gng,query_latency_dynamic_ms,ms,16.108024062503116,57988.88662501122,3600,0.95,15.938614639998278,16.277098362652197,3600,16.108024062503116,7.473104305292369,14.389183997991495,10.575112006335985,21.280336019117385,2.193664025980979,58.36291200830601
guarded_gng,path_cost_clear,joint-space cost,14.425589125113607,40564.75661981946,2812,0.95,14.246800187520138,14.607800051613095,2812,14.425589125113609,4.693459310837974,14.31910968982931,10.972566274269225,17.541655384152566,1.0393172728962095,30.553948585696116
guarded_gng,path_cost_dynamic,joint-space cost,15.040354599474501,41932.50862333491,2788,0.95,14.850237598228354,15.235949639088178,2788,15.040354599474497,4.764644338430033,14.834717378222344,11.691752629265473,18.10339676941011,1.0393172728962095,32.573803749394735
