study_kind,inferential_use,hypothesis_role,left_method,right_method,metric,unit,support_definition,eligible_common_cells,left_estimate,right_estimate,paired_effect_left_minus_right,ci_level,ci_lower,ci_upper,ci_resampling_unit,paired_streams,positive_stream_differences,negative_stream_differences,tied_stream_differences,descriptive_exact_sign_p,sign_dominance,paired_standardized_mean_difference_dz,primary_studentized_permutation_p,primary_holm_adjusted_p,primary_permutation_repetitions,scene_sensitivity_ci_lower,scene_sensitivity_ci_upper,scene_sensitivity_resampling_unit
confirmatory,False,secondary_exploratory_descriptive,guarded_gng,gng,clear_success,proportion,all_fixed_catalog_cells,3600,0.7811111111111111,0.7494444444444445,0.03166666666666667,0.95,0.010555555555555556,0.05277777777777778,paired_roadmap_stream_cluster,60,38,14,8,0.001195120320007348,0.46153846153846156,0.3749004531107454,,,,,,
confirmatory,True,primary_confirmatory,guarded_gng,gng,dynamic_success,proportion,all_fixed_catalog_cells,3600,0.7744444444444445,0.7377777777777778,0.03666666666666667,0.95,0.015548611111111402,0.0575,paired_whole_roadmap_stream,60,40,14,6,0.0005354355028570623,0.48148148148148145,0.4381326332927161,0.0015999840001599984,0.0031999680003199967,100000,-0.02722222222222222,0.10333333333333333,paired_roadmap_stream_x_base_trajectory_with_point_segment_together
confirmatory,False,secondary_exploratory_descriptive,guarded_gng,gng,conditional_retention,proportion,method_specific_clear_success_denominators,,0.9911095305832148,0.9840622683469237,0.007047262236291152,0.95,,,,0,0,0,0,,,,,,,,,
confirmatory,False,secondary_exploratory_descriptive,guarded_gng,gng,path_change_joint_success,proportion,common_four_way_clear_dynamic_joint_success_cells,2206,0.3168631006346328,0.3676337262012693,-0.050770625566636446,0.95,-0.0823695382148912,-0.018124113584185496,paired_roadmap_stream_cluster,60,17,37,6,0.009073340339587177,-0.37037037037037035,-0.403649554064627,,,,,,
confirmatory,False,secondary_exploratory_descriptive,guarded_gng,gng,build_time_ms,ms,all_paired_roadmap_streams,60,1599.7489450666667,1736.9112597333333,-137.16231466666665,0.95,-153.29530599999998,-121.72896321333336,paired_roadmap_stream_cluster,60,1,59,0,1.0581813203458523e-16,-0.9666666666666667,-2.1811746410517707,,,,,,
confirmatory,False,secondary_exploratory_descriptive,guarded_gng,gng,planning_time_clear_ms,ms,common_clear_exact_success_cells,2258,6.030880368467671,5.095730139946857,0.935150228520815,0.95,0.8443623870851696,1.0258145873508533,paired_roadmap_stream_cluster,60,59,1,0,1.0581813203458523e-16,0.9666666666666667,2.561181822887937,,,,,,
confirmatory,False,secondary_exploratory_descriptive,guarded_gng,gng,planning_time_dynamic_ms,ms,common_dynamic_exact_success_cells,2208,14.424714869565216,14.178883188405791,0.24583168115942036,0.95,0.09878298507409078,0.39413172426028736,paired_roadmap_stream_cluster,60,42,18,0,0.002670436282807066,0.4,0.4085137985662115,,,,,,
confirmatory,False,secondary_exploratory_descriptive,guarded_gng,gng,query_latency_clear_ms,ms,all_clear_query_outcomes,3600,7.369784595317065,6.709282879738668,0.6605017155783975,0.95,0.4911838655316388,0.8236902657808969,paired_roadmap_stream_cluster,60,50,10,0,1.6163814566157175e-07,0.6666666666666666,0.998574894501934,,,,,,
confirmatory,False,secondary_exploratory_descriptive,guarded_gng,gng,query_latency_dynamic_ms,ms,all_dynamic_query_outcomes,3600,16.108024062503116,16.067835413074743,0.04018864942837455,0.95,-0.19353732610195742,0.27401032092327826,paired_roadmap_stream_cluster,60,32,28,0,0.6988834276200057,0.06666666666666667,0.04320738844768701,,,,,,
confirmatory,False,secondary_exploratory_descriptive,guarded_gng,gng,path_cost_clear,joint-space cost,common_clear_exact_success_cells,2258,14.485677859497951,11.403585654021684,3.082092205476272,0.95,2.869058663741094,3.2973569600000903,paired_roadmap_stream_cluster,60,60,0,0,1.734723475976807e-18,1.0,3.5736195327561493,,,,,,
