dimension,level,scene_count,stream_scene_cells_per_method,gng_dynamic_exact_valid_rate,guarded_gng_dynamic_exact_valid_rate,halton_prm_dynamic_exact_valid_rate,guarded_minus_gng_risk_difference,guarded_minus_halton_risk_difference,analysis_role
obstacle_kind,point,30,1800,0.7433333333333333,0.7777777777777778,0.8066666666666666,0.0344444444444445,-0.028888888888888853,descriptive_stratum_report_not_multiplicity_tested
obstacle_kind,segment,30,1800,0.7322222222222222,0.7711111111111111,0.8033333333333333,0.03888888888888886,-0.03222222222222226,descriptive_stratum_report_not_multiplicity_tested
difficulty,low,20,1200,0.7416666666666667,0.7491666666666666,0.7808333333333334,0.007499999999999951,-0.03166666666666673,descriptive_stratum_report_not_multiplicity_tested
difficulty,medium,20,1200,0.7341666666666666,0.74,0.7725,0.005833333333333357,-0.03249999999999997,descriptive_stratum_report_not_multiplicity_tested
difficulty,high,20,1200,0.7375,0.8341666666666666,0.8616666666666667,0.09666666666666657,-0.02750000000000008,descriptive_stratum_report_not_multiplicity_tested
difficulty_x_obstacle_kind,low:point,10,600,0.7583333333333333,0.7566666666666667,0.785,-0.0016666666666665941,-0.02833333333333332,descriptive_stratum_report_not_multiplicity_tested
difficulty_x_obstacle_kind,low:segment,10,600,0.725,0.7416666666666667,0.7766666666666666,0.01666666666666672,-0.03499999999999992,descriptive_stratum_report_not_multiplicity_tested
difficulty_x_obstacle_kind,medium:point,10,600,0.7333333333333333,0.7416666666666667,0.7733333333333333,0.008333333333333415,-0.03166666666666662,descriptive_stratum_report_not_multiplicity_tested
difficulty_x_obstacle_kind,medium:segment,10,600,0.735,0.7383333333333333,0.7716666666666666,0.0033333333333332993,-0.033333333333333326,descriptive_stratum_report_not_multiplicity_tested
difficulty_x_obstacle_kind,high:point,10,600,0.7383333333333333,0.835,0.8616666666666667,0.09666666666666668,-0.026666666666666727,descriptive_stratum_report_not_multiplicity_tested
difficulty_x_obstacle_kind,high:segment,10,600,0.7366666666666667,0.8333333333333334,0.8616666666666667,0.09666666666666668,-0.02833333333333332,descriptive_stratum_report_not_multiplicity_tested
