run_index,stream_ordinal,roadmap_stream_id,method,method_order_position,ros_domain_id,reported_method,graph_revision,expanded_urdf_sha256,srdf_sha256,reachability_parameters_sha256,requested_node_count,anchor_node_count,prototype_budget,prototype_node_count,requested_guard_node_count,guard_node_count,fill_sample_node_count,candidate_attempts,halton_start_index,sample_stream_seed,sample_stream_type,gng_training_sample_count,effective_guard_fraction,nodes,edges,components,build_time_ms,joint_names,graph_publisher_count,plan_publisher_count,query_subscriber_count,catalog_id,catalog_sha256,rmw_implementation,ros_localhost_only,launch_log,infrastructure_error
0,0,100,gng,0,20,gng,1,daf37611724f4c8efd69b3b470bf505cfce4732353ea985ec54fbbb01f6d412d,730e590951a205ec639ff20613ce3305e18290f0c9a599130d38ce7c86d3d424,abf60d6f21bbb0e9b77558316dfb746dacf3af37814a349c60308f7dcfd22175,800,2,798,798,0,0,0,4136,17,100,digit_permuted_halton,4000,0.0,800,4546,3,1714.390944,"[""joint1"",""joint2"",""joint3"",""joint4"",""joint5"",""joint6""]",1,1,1,om6dof_icra_scene_catalog_v4,ac5205e9c4fae67a9f9af3f84176d61d459eb4daae2c4f50ea0e2d6b2d59b023,rmw_fastrtps_cpp,True,/home/kublab/ros2_ws/reachability_icra_confirmatory_v4/logs/run_0000_stream_100_gng_domain_20.log,
1,0,100,guarded_gng,1,21,guarded_gng,1,daf37611724f4c8efd69b3b470bf505cfce4732353ea985ec54fbbb01f6d412d,730e590951a205ec639ff20613ce3305e18290f0c9a599130d38ce7c86d3d424,abf60d6f21bbb0e9b77558316dfb746dacf3af37814a349c60308f7dcfd22175,800,2,199,199,599,599,0,4136,17,100,digit_permuted_halton,4000,0.75,800,3600,12,1590.053984,"[""joint1"",""joint2"",""joint3"",""joint4"",""joint5"",""joint6""]",1,1,1,om6dof_icra_scene_catalog_v4,ac5205e9c4fae67a9f9af3f84176d61d459eb4daae2c4f50ea0e2d6b2d59b023,rmw_fastrtps_cpp,True,/home/kublab/ros2_ws/reachability_icra_confirmatory_v4/logs/run_0001_stream_100_guarded_gng_domain_21.log,
2,0,100,halton_prm,2,22,halton_prm,1,daf37611724f4c8efd69b3b470bf505cfce4732353ea985ec54fbbb01f6d412d,730e590951a205ec639ff20613ce3305e18290f0c9a599130d38ce7c86d3d424,abf60d6f21bbb0e9b77558316dfb746dacf3af37814a349c60308f7dcfd22175,800,2,0,0,0,0,798,822,17,100,digit_permuted_halton,0,0.0,800,3232,19,1379.274912,"[""joint1"",""joint2"",""joint3"",""joint4"",""joint5"",""joint6""]",1,1,1,om6dof_icra_scene_catalog_v4,ac5205e9c4fae67a9f9af3f84176d61d459eb4daae2c4f50ea0e2d6b2d59b023,rmw_fastrtps_cpp,True,/home/kublab/ros2_ws/reachability_icra_confirmatory_v4/logs/run_0002_stream_100_halton_prm_domain_22.log,
3,1,101,gng,0,23,gng,1,daf37611724f4c8efd69b3b470bf505cfce4732353ea985ec54fbbb01f6d412d,730e590951a205ec639ff20613ce3305e18290f0c9a599130d38ce7c86d3d424,abf60d6f21bbb0e9b77558316dfb746dacf3af37814a349c60308f7dcfd22175,800,2,798,798,0,0,0,4139,17,101,digit_permuted_halton,4000,0.0,800,4577,1,1751.674528,"[""joint1"",""joint2"",""joint3"",""joint4"",""joint5"",""joint6""]",1,1,1,om6dof_icra_scene_catalog_v4,ac5205e9c4fae67a9f9af3f84176d61d459eb4daae2c4f50ea0e2d6b2d59b023,rmw_fastrtps_cpp,True,/home/kublab/ros2_ws/reachability_icra_confirmatory_v4/logs/run_0003_stream_101_gng_domain_23.log,
4,1,101,halton_prm,1,24,halton_prm,1,daf37611724f4c8efd69b3b470bf505cfce4732353ea985ec54fbbb01f6d412d,730e590951a205ec639ff20613ce3305e18290f0c9a599130d38ce7c86d3d424,abf60d6f21bbb0e9b77558316dfb746dacf3af37814a349c60308f7dcfd22175,800,2,0,0,0,0,798,830,17,101,digit_permuted_halton,0,0.0,800,3199,13,1357.002176,"[""joint1"",""joint2"",""joint3"",""joint4"",""joint5"",""joint6""]",1,1,1,om6dof_icra_scene_catalog_v4,ac5205e9c4fae67a9f9af3f84176d61d459eb4daae2c4f50ea0e2d6b2d59b023,rmw_fastrtps_cpp,True,/home/kublab/ros2_ws/reachability_icra_confirmatory_v4/logs/run_0004_stream_101_halton_prm_domain_24.log,
5,1,101,guarded_gng,2,25,guarded_gng,1,daf37611724f4c8efd69b3b470bf505cfce4732353ea985ec54fbbb01f6d412d,730e590951a205ec639ff20613ce3305e18290f0c9a599130d38ce7c86d3d424,abf60d6f21bbb0e9b77558316dfb746dacf3af37814a349c60308f7dcfd22175,800,2,199,199,599,599,0,4139,17,101,digit_permuted_halton,4000,0.75,800,3576,9,1642.771072,"[""joint1"",""joint2"",""joint3"",""joint4"",""joint5"",""joint6""]",1,1,1,om6dof_icra_scene_catalog_v4,ac5205e9c4fae67a9f9af3f84176d61d459eb4daae2c4f50ea0e2d6b2d59b023,rmw_fastrtps_cpp,True,/home/kublab/ros2_ws/reachability_icra_confirmatory_v4/logs/run_0005_stream_101_guarded_gng_domain_25.log,
6,2,102,guarded_gng,0,26,guarded_gng,1,daf37611724f4c8efd69b3b470bf505cfce4732353ea985ec54fbbb01f6d412d,730e590951a205ec639ff20613ce3305e18290f0c9a599130d38ce7c86d3d424,abf60d6f21bbb0e9b77558316dfb746dacf3af37814a349c60308f7dcfd22175,800,2,199,199,599,599,0,4143,17,102,digit_permuted_halton,4000,0.75,800,3584,16,1602.045376,"[""joint1"",""joint2"",""joint3"",""joint4"",""joint5"",""joint6""]",1,1,1,om6dof_icra_scene_catalog_v4,ac5205e9c4fae67a9f9af3f84176d61d459eb4daae2c4f50ea0e2d6b2d59b023,rmw_fastrtps_cpp,True,/home/kublab/ros2_ws/reachability_icra_confirmatory_v4/logs/run_0006_stream_102_guarded_gng_domain_26.log,
7,2,102,gng,1,27,gng,1,daf37611724f4c8efd69b3b470bf505cfce4732353ea985ec54fbbb01f6d412d,730e590951a205ec639ff20613ce3305e18290f0c9a599130d38ce7c86d3d424,abf60d6f21bbb0e9b77558316dfb746dacf3af37814a349c60308f7dcfd22175,800,2,798,798,0,0,0,4143,17,102,digit_permuted_halton,4000,0.0,800,4506,2,1701.164608,"[""joint1"",""joint2"",""joint3"",""joint4"",""joint5"",""joint6""]",1,1,1,om6dof_icra_scene_catalog_v4,ac5205e9c4fae67a9f9af3f84176d61d459eb4daae2c4f50ea0e2d6b2d59b023,rmw_fastrtps_cpp,True,/home/kublab/ros2_ws/reachability_icra_confirmatory_v4/logs/run_0007_stream_102_gng_domain_27.log,
8,2,102,halton_prm,2,28,halton_prm,1,daf37611724f4c8efd69b3b470bf505cfce4732353ea985ec54fbbb01f6d412d,730e590951a205ec639ff20613ce3305e18290f0c9a599130d38ce7c86d3d424,abf60d6f21bbb0e9b77558316dfb746dacf3af37814a349c60308f7dcfd22175,800,2,0,0,0,0,798,823,17,102,digit_permuted_halton,0,0.0,800,3238,13,1364.397184,"[""joint1"",""joint2"",""joint3"",""joint4"",""joint5"",""joint6""]",1,1,1,om6dof_icra_scene_catalog_v4,ac5205e9c4fae67a9f9af3f84176d61d459eb4daae2c4f50ea0e2d6b2d59b023,rmw_fastrtps_cpp,True,/home/kublab/ros2_ws/reachability_icra_confirmatory_v4/logs/run_0008_stream_102_halton_prm_domain_28.log,
9,3,103,guarded_gng,0,29,guarded_gng,1,daf37611724f4c8efd69b3b470bf505cfce4732353ea985ec54fbbb01f6d412d,730e590951a205ec639ff20613ce3305e18290f0c9a599130d38ce7c86d3d424,abf60d6f21bbb0e9b77558316dfb746dacf3af37814a349c60308f7dcfd22175,800,2,199,199,599,599,0,4150,17,103,digit_permuted_halton,4000,0.75,800,3563,12,1593.555712,"[""joint1"",""joint2"",""joint3"",""joint4"",""joint5"",""joint6""]",1,1,1,om6dof_icra_scene_catalog_v4,ac5205e9c4fae67a9f9af3f84176d61d459eb4daae2c4f50ea0e2d6b2d59b023,rmw_fastrtps_cpp,True,/home/kublab/ros2_ws/reachability_icra_confirmatory_v4/logs/run_0009_stream_103_guarded_gng_domain_29.log,
10,3,103,halton_prm,1,30,halton_prm,1,daf37611724f4c8efd69b3b470bf505cfce4732353ea985ec54fbbb01f6d412d,730e590951a205ec639ff20613ce3305e18290f0c9a599130d38ce7c86d3d424,abf60d6f21bbb0e9b77558316dfb746dacf3af37814a349c60308f7dcfd22175,800,2,0,0,0,0,798,831,17,103,digit_permuted_halton,0,0.0,800,3232,9,1365.40016,"[""joint1"",""joint2"",""joint3"",""joint4"",""joint5"",""joint6""]",1,1,1,om6dof_icra_scene_catalog_v4,ac5205e9c4fae67a9f9af3f84176d61d459eb4daae2c4f50ea0e2d6b2d59b023,rmw_fastrtps_cpp,True,/home/kublab/ros2_ws/reachability_icra_confirmatory_v4/logs/run_0010_stream_103_halton_prm_domain_30.log,
11,3,103,gng,2,31,gng,1,daf37611724f4c8efd69b3b470bf505cfce4732353ea985ec54fbbb01f6d412d,730e590951a205ec639ff20613ce3305e18290f0c9a599130d38ce7c86d3d424,abf60d6f21bbb0e9b77558316dfb746dacf3af37814a349c60308f7dcfd22175,800,2,798,798,0,0,0,4150,17,103,digit_permuted_halton,4000,0.0,800,4613,1,1742.893568,"[""joint1"",""joint2"",""joint3"",""joint4"",""joint5"",""joint6""]",1,1,1,om6dof_icra_scene_catalog_v4,ac5205e9c4fae67a9f9af3f84176d61d459eb4daae2c4f50ea0e2d6b2d59b023,rmw_fastrtps_cpp,True,/home/kublab/ros2_ws/reachability_icra_confirmatory_v4/logs/run_0011_stream_103_gng_domain_31.log,
12,4,104,halton_prm,0,32,halton_prm,1,daf37611724f4c8efd69b3b470bf505cfce4732353ea985ec54fbbb01f6d412d,730e590951a205ec639ff20613ce3305e18290f0c9a599130d38ce7c86d3d424,abf60d6f21bbb0e9b77558316dfb746dacf3af37814a349c60308f7dcfd22175,800,2,0,0,0,0,798,819,17,104,digit_permuted_halton,0,0.0,800,3245,15,1402.6264,"[""joint1"",""joint2"",""joint3"",""joint4"",""joint5"",""joint6""]",1,1,1,om6dof_icra_scene_catalog_v4,ac5205e9c4fae67a9f9af3f84176d61d459eb4daae2c4f50ea0e2d6b2d59b023,rmw_fastrtps_cpp,True,/home/kublab/ros2_ws/reachability_icra_confirmatory_v4/logs/run_0012_stream_104_halton_prm_domain_32.log,
13,4,104,gng,1,33,gng,1,daf37611724f4c8efd69b3b470bf505cfce4732353ea985ec54fbbb01f6d412d,730e590951a205ec639ff20613ce3305e18290f0c9a599130d38ce7c86d3d424,abf60d6f21bbb0e9b77558316dfb746dacf3af37814a349c60308f7dcfd22175,800,2,798,798,0,0,0,4130,17,104,digit_permuted_halton,4000,0.0,800,4523,3,1712.985184,"[""joint1"",""joint2"",""joint3"",""joint4"",""joint5"",""joint6""]",1,1,1,om6dof_icra_scene_catalog_v4,ac5205e9c4fae67a9f9af3f84176d61d459eb4daae2c4f50ea0e2d6b2d59b023,rmw_fastrtps_cpp,True,/home/kublab/ros2_ws/reachability_icra_confirmatory_v4/logs/run_0013_stream_104_gng_domain_33.log,
