run_index,stream_ordinal,roadmap_stream_id,method,method_order_position,ros_domain_id,plan_graph_method,graph_revision,scene_id,catalog_index,base_trajectory_id,source_counter,scene_order_position,phase,obstacle_kind,stratum,phase_order_position,query_id,start_joint_positions,target_position,target_source_joint_positions,requested_target_environment_node_id,requested_target_position,selected_target_environment_node_id,valid,exact_valid,reason,timeout,infrastructure_error,blocked_nodes,blocked_edges,planning_time_ms,publish_to_plan_ms,exact_checks,exact_replans,exact_time_ms,start_node_id,goal_node_id,target_distance,graph_cost,start_connection_cost,total_joint_path_cost,path_nodes,path_ids,preview_start_joints
0,0,100,gng,0,20,gng,1,scene_000,0,base_000031,31,0,clear,none,"{""difficulty"":""low"",""obstacle_kind"":""point""}",0,1,"[-0.24838514480078944,1.24615624932304,0.6910660411168403,0.47547463706920423,0.07671319689298817,0.8203893989114741]","[-0.06585177547761104,-0.09299138530003918,0.41013896131254274]","[1.371427824999233,0.11524286503253323,-0.23856030647128046,-0.5519138910999497,-0.7470516078243523,1.3367870274466402]",1000000,"[-0.06585177547761104,-0.09299138530003918,0.41013896131254274]",1000000,True,True,path_ready_exact_validated_preview_only,False,,0,0,5.829376,9.394848020747304,214,0,4.351616,81,316,0.027205340918969288,11.130215454250939,1.5687588870511628,12.698974341302101,8,"[81,605,629,87,658,360,613,316]","[-0.24838514480078944,1.24615624932304,0.6910660411168403,0.47547463706920423,0.07671319689298817,0.8203893989114741]"
0,0,100,gng,0,20,gng,1,scene_000,0,base_000031,31,0,dynamic,point,"{""difficulty"":""low"",""obstacle_kind"":""point""}",1,2,"[-0.24838514480078944,1.24615624932304,0.6910660411168403,0.47547463706920423,0.07671319689298817,0.8203893989114741]","[-0.06585177547761104,-0.09299138530003918,0.41013896131254274]","[1.371427824999233,0.11524286503253323,-0.23856030647128046,-0.5519138910999497,-0.7470516078243523,1.3367870274466402]",1000000,"[-0.06585177547761104,-0.09299138530003918,0.41013896131254274]",1000000,True,True,path_ready_exact_validated_preview_only,False,,4,79,7.896064,10.640544001944363,214,0,4.476896,81,316,0.027205340918969288,11.130215454250939,1.5687588870511628,12.698974341302101,8,"[81,605,629,87,658,360,613,316]","[-0.24838514480078944,1.24615624932304,0.6910660411168403,0.47547463706920423,0.07671319689298817,0.8203893989114741]"
0,0,100,gng,0,20,gng,1,scene_001,1,base_000003,3,1,dynamic,point,"{""difficulty"":""low"",""obstacle_kind"":""point""}",0,4,"[1.7752548523920488,1.6044041162471503,1.0279372763339176,-0.3227321209990244,0.35716105300378564,-0.15639639286260154]","[0.03565730003435841,0.13433292501929256,0.39428728874260277]","[2.327447000153411,0.4751231722522191,0.047371602575595695,-2.214765529834385,1.0009625543894802,-1.1074636880422513]",1000010,"[0.03565730003435841,0.13433292501929256,0.39428728874260277]",1000010,True,True,path_ready_exact_validated_preview_only,False,,14,168,8.791264,11.526752001373097,172,0,4.099808000000003,230,394,0.03218078056320586,10.104892099111927,1.0296618073853012,11.134553906497228,7,"[230,392,679,281,474,198,394]","[1.7752548523920488,1.6044041162471503,1.0279372763339176,-0.3227321209990244,0.35716105300378564,-0.15639639286260154]"
0,0,100,gng,0,20,gng,1,scene_001,1,base_000003,3,1,clear,none,"{""difficulty"":""low"",""obstacle_kind"":""point""}",1,3,"[1.7752548523920488,1.6044041162471503,1.0279372763339176,-0.3227321209990244,0.35716105300378564,-0.15639639286260154]","[0.03565730003435841,0.13433292501929256,0.39428728874260277]","[2.327447000153411,0.4751231722522191,0.047371602575595695,-2.214765529834385,1.0009625543894802,-1.1074636880422513]",1000010,"[0.03565730003435841,0.13433292501929256,0.39428728874260277]",1000010,True,True,path_ready_exact_validated_preview_only,False,,0,0,5.05808,9.020191995659843,172,0,3.7752959999999987,230,394,0.03218078056320586,10.104892099111927,1.0296618073853012,11.134553906497228,7,"[230,392,679,281,474,198,394]","[1.7752548523920488,1.6044041162471503,1.0279372763339176,-0.3227321209990244,0.35716105300378564,-0.15639639286260154]"
0,0,100,gng,0,20,gng,1,scene_002,2,base_000001,1,2,clear,none,"{""difficulty"":""low"",""obstacle_kind"":""point""}",0,5,"[1.0075096843396212,-0.41001328024971984,-0.04579821135638351,-1.365396529458779,-1.618045939770905,0.7289194655407472]","[0.03264309242939785,-0.3532775500232304,-0.07352878623958653]","[1.575649157855965,-1.7801594446100768,-0.1066332636582279,0.39050643819192565,-0.31099375994305833,-0.11930073153858922]",1000020,"[0.03264309242939785,-0.3532775500232304,-0.07352878623958653]",4294967295,False,False,target_outside_reachability_intersection,False,,0,0,1.62272,3.779135993681848,19,0,0.40249599999999996,258,4294967295,-1.0,-1.0,1.3199706970369534,-1.0,0,[],"[1.0075096843396212,-0.41001328024971984,-0.04579821135638351,-1.365396529458779,-1.618045939770905,0.7289194655407472]"
0,0,100,gng,0,20,gng,1,scene_002,2,base_000001,1,2,dynamic,point,"{""difficulty"":""low"",""obstacle_kind"":""point""}",1,6,"[1.0075096843396212,-0.41001328024971984,-0.04579821135638351,-1.365396529458779,-1.618045939770905,0.7289194655407472]","[0.03264309242939785,-0.3532775500232304,-0.07352878623958653]","[1.575649157855965,-1.7801594446100768,-0.1066332636582279,0.39050643819192565,-0.31099375994305833,-0.11930073153858922]",1000020,"[0.03264309242939785,-0.3532775500232304,-0.07352878623958653]",4294967295,False,False,target_outside_reachability_intersection,False,,8,137,3.740032,5.212447984376922,19,0,0.4186560000000001,258,4294967295,-1.0,-1.0,1.3199706970369534,-1.0,0,[],"[1.0075096843396212,-0.41001328024971984,-0.04579821135638351,-1.365396529458779,-1.618045939770905,0.7289194655407472]"
0,0,100,gng,0,20,gng,1,scene_003,3,base_000017,17,3,dynamic,point,"{""difficulty"":""low"",""obstacle_kind"":""point""}",0,8,"[-1.67063307816761,0.6418288803494887,1.6198288207622187,-0.42108103583235446,1.3067302111412495,-0.7132883773274923]","[-0.028114443626620512,-0.09848519978006626,0.44316042387447396]","[-1.7482720530686708,0.3996125949321483,0.10394549009430509,0.29410171100851734,-0.4882717972868278,-0.24444811191076887]",1000030,"[-0.028114443626620512,-0.09848519978006626,0.44316042387447396]",1000030,True,True,path_ready_exact_validated_preview_only,False,,33,307,11.363936,13.71843199012801,200,0,4.320640000000002,487,45,0.03806015230667999,11.399938400302213,1.17836163901142,12.578300039313634,8,"[487,23,608,439,141,457,431,45]","[-1.67063307816761,0.6418288803494887,1.6198288207622187,-0.42108103583235446,1.3067302111412495,-0.7132883773274923]"
0,0,100,gng,0,20,gng,1,scene_003,3,base_000017,17,3,clear,none,"{""difficulty"":""low"",""obstacle_kind"":""point""}",1,7,"[-1.67063307816761,0.6418288803494887,1.6198288207622187,-0.42108103583235446,1.3067302111412495,-0.7132883773274923]","[-0.028114443626620512,-0.09848519978006626,0.44316042387447396]","[-1.7482720530686708,0.3996125949321483,0.10394549009430509,0.29410171100851734,-0.4882717972868278,-0.24444811191076887]",1000030,"[-0.028114443626620512,-0.09848519978006626,0.44316042387447396]",1000030,True,True,path_ready_exact_validated_preview_only,False,,0,0,5.91696,8.51231999695301,200,0,4.5277759999999985,487,45,0.03806015230667999,11.399938400302213,1.17836163901142,12.578300039313634,8,"[487,23,608,439,141,457,431,45]","[-1.67063307816761,0.6418288803494887,1.6198288207622187,-0.42108103583235446,1.3067302111412495,-0.7132883773274923]"
0,0,100,gng,0,20,gng,1,scene_004,4,base_000037,37,4,clear,none,"{""difficulty"":""low"",""obstacle_kind"":""point""}",0,9,"[-0.36646496318447275,1.5447893021818002,0.2576861994875288,0.4602548483666018,-0.626905991518085,1.2404006489332158]","[-0.008577000561363533,0.3649584092302474,0.14518644842901016]","[1.659015458681985,1.8473168857555997,-0.6616167143690268,-1.7899820790161032,0.07356377047018725,2.199474466047655]",1000040,"[-0.008577000561363533,0.3649584092302474,0.14518644842901016]",1000040,True,True,path_ready_exact_validated_preview_only,False,,0,0,4.268672,6.834975996753201,141,0,2.8927040000000006,402,61,0.025757573101307694,7.053323283651031,1.2789204860963013,8.332243769747333,8,"[402,403,603,204,712,183,638,61]","[-0.36646496318447275,1.5447893021818002,0.2576861994875288,0.4602548483666018,-0.626905991518085,1.2404006489332158]"
0,0,100,gng,0,20,gng,1,scene_004,4,base_000037,37,4,dynamic,point,"{""difficulty"":""low"",""obstacle_kind"":""point""}",1,10,"[-0.36646496318447275,1.5447893021818002,0.2576861994875288,0.4602548483666018,-0.626905991518085,1.2404006489332158]","[-0.008577000561363533,0.3649584092302474,0.14518644842901016]","[1.659015458681985,1.8473168857555997,-0.6616167143690268,-1.7899820790161032,0.07356377047018725,2.199474466047655]",1000040,"[-0.008577000561363533,0.3649584092302474,0.14518644842901016]",1000040,True,True,path_ready_exact_validated_preview_only,False,,3,16,4.83568,7.535584009019658,141,0,2.94496,402,61,0.025757573101307694,7.053323283651031,1.2789204860963013,8.332243769747333,8,"[402,403,603,204,712,183,638,61]","[-0.36646496318447275,1.5447893021818002,0.2576861994875288,0.4602548483666018,-0.626905991518085,1.2404006489332158]"
