run_index,method,seed,halton_start_index,nodes,edges,components,build_time_ms,target_xyz,target_joints,obstacle_xyz,topology_diagnostics,clear_valid,clear_reason,clear_blocked_nodes,clear_blocked_edges,clear_planning_time_ms,clear_exact_valid,clear_exact_checks,clear_exact_replans,clear_exact_time_ms,clear_path_nodes,dynamic_valid,dynamic_reason,dynamic_blocked_nodes,dynamic_blocked_edges,dynamic_planning_time_ms,dynamic_exact_valid,dynamic_exact_checks,dynamic_exact_replans,dynamic_exact_time_ms,dynamic_path_nodes,error
0,gng,0,17,800,4511,3,1720.01152,"[0.1622375619994582, 0.0, 0.2540819536713998]","[0.0, -0.6806, 1.3613, 0.0, 0.8901, 0.0]","[0.08711878099972911, 0.0, 0.3607909768356999]","{""active_edges_from_marker"": 3623, ""ambiguous_active_edge_pairs"": 0, ""start_component_size_after_obstacle"": 714, ""start_id"": 0, ""target_candidate_blocked_count"": 1, ""target_candidate_count"": 4, ""target_candidate_reachable_count"": 2, ""target_candidates"": [{""active_degree"": 0, ""base_degree"": 16, ""blocked"": true, ""distance"": 0.0, ""id"": 1, ""reachable"": false}, {""active_degree"": 0, ""base_degree"": 7, ""blocked"": false, ""distance"": 0.015823038333504548, ""id"": 142, ""reachable"": false}, {""active_degree"": 8, ""base_degree"": 15, ""blocked"": false, ""distance"": 0.036078125625902825, ""id"": 469, ""reachable"": true}, {""active_degree"": 9, ""base_degree"": 13, ""blocked"": false, ""distance"": 0.04545169968389221, ""id"": 369, ""reachable"": true}]}",True,path_ready_exact_validated_preview_only,0,0,4.669952,True,100,0,2.2272639999999995,4,True,path_ready_exact_validated_preview_only,82,888,20.676544,True,157,0,5.0235520000000005,6,
1,gng,2,15855,800,4570,1,1877.792768,"[0.1622375619994582, 0.0, 0.2540819536713998]","[0.0, -0.6806, 1.3613, 0.0, 0.8901, 0.0]","[0.08711878099972911, 0.0, 0.3607909768356999]","{""active_edges_from_marker"": 3826, ""ambiguous_active_edge_pairs"": 0, ""start_component_size_after_obstacle"": 740, ""start_id"": 0, ""target_candidate_blocked_count"": 2, ""target_candidate_count"": 4, ""target_candidate_reachable_count"": 2, ""target_candidates"": [{""active_degree"": 0, ""base_degree"": 16, ""blocked"": true, ""distance"": 0.0, ""id"": 1, ""reachable"": false}, {""active_degree"": 3, ""base_degree"": 13, ""blocked"": false, ""distance"": 0.033295457528731566, ""id"": 310, ""reachable"": true}, {""active_degree"": 1, ""base_degree"": 10, ""blocked"": false, ""distance"": 0.036794059502971384, ""id"": 706, ""reachable"": true}, {""active_degree"": 0, ""base_degree"": 10, ""blocked"": true, ""distance"": 0.049588697103358496, ""id"": 711, ""reachable"": false}]}",True,path_ready_exact_validated_preview_only,0,0,3.01536,True,99,0,1.8810239999999996,5,True,path_ready_exact_validated_preview_only,60,744,34.554208,True,110,0,6.0040640000000005,5,
2,gng,6,47531,800,4591,2,1877.404928,"[0.1622375619994582, 0.0, 0.2540819536713998]","[0.0, -0.6806, 1.3613, 0.0, 0.8901, 0.0]","[0.08711878099972911, 0.0, 0.3607909768356999]","{""active_edges_from_marker"": 3814, ""ambiguous_active_edge_pairs"": 0, ""start_component_size_after_obstacle"": 737, ""start_id"": 0, ""target_candidate_blocked_count"": 1, ""target_candidate_count"": 1, ""target_candidate_reachable_count"": 0, ""target_candidates"": [{""active_degree"": 0, ""base_degree"": 17, ""blocked"": true, ""distance"": 0.0, ""id"": 1, ""reachable"": false}]}",True,path_ready_exact_validated_preview_only,0,0,3.192448,True,98,0,2.00048,5,False,target_intersection_blocked_or_disconnected,62,777,12.118368,False,2,0,0.050144,0,
3,gng,9,71288,800,4517,2,1680.537312,"[0.1622375619994582, 0.0, 0.2540819536713998]","[0.0, -0.6806, 1.3613, 0.0, 0.8901, 0.0]","[0.08711878099972911, 0.0, 0.3607909768356999]","{""active_edges_from_marker"": 3780, ""ambiguous_active_edge_pairs"": 0, ""start_component_size_after_obstacle"": 735, ""start_id"": 0, ""target_candidate_blocked_count"": 2, ""target_candidate_count"": 2, ""target_candidate_reachable_count"": 0, ""target_candidates"": [{""active_degree"": 0, ""base_degree"": 19, ""blocked"": true, ""distance"": 0.0, ""id"": 1, ""reachable"": false}, {""active_degree"": 0, ""base_degree"": 12, ""blocked"": true, ""distance"": 0.04013559927892782, ""id"": 307, ""reachable"": false}]}",True,path_ready_exact_validated_preview_only,0,0,3.281312,True,110,0,2.1110080000000004,4,False,target_intersection_blocked_or_disconnected,64,737,16.553664,False,2,0,0.052416000000000004,0,
4,gng,16,126721,800,4602,2,1762.392736,"[0.1622375619994582, 0.0, 0.2540819536713998]","[0.0, -0.6806, 1.3613, 0.0, 0.8901, 0.0]","[0.08711878099972911, 0.0, 0.3607909768356999]","{""active_edges_from_marker"": 3940, ""ambiguous_active_edge_pairs"": 0, ""start_component_size_after_obstacle"": 749, ""start_id"": 0, ""target_candidate_blocked_count"": 1, ""target_candidate_count"": 1, ""target_candidate_reachable_count"": 0, ""target_candidates"": [{""active_degree"": 0, ""base_degree"": 22, ""blocked"": true, ""distance"": 0.0, ""id"": 1, ""reachable"": false}]}",True,path_ready_exact_validated_preview_only,0,0,3.332032,True,111,0,2.145472,4,False,target_intersection_blocked_or_disconnected,50,662,16.76832,False,2,0,0.054784,0,
5,gng,18,142559,800,4546,3,1726.403904,"[0.1622375619994582, 0.0, 0.2540819536713998]","[0.0, -0.6806, 1.3613, 0.0, 0.8901, 0.0]","[0.08711878099972911, 0.0, 0.3607909768356999]","{""active_edges_from_marker"": 3850, ""ambiguous_active_edge_pairs"": 0, ""start_component_size_after_obstacle"": 743, ""start_id"": 0, ""target_candidate_blocked_count"": 3, ""target_candidate_count"": 3, ""target_candidate_reachable_count"": 0, ""target_candidates"": [{""active_degree"": 0, ""base_degree"": 25, ""blocked"": true, ""distance"": 0.0, ""id"": 1, ""reachable"": false}, {""active_degree"": 0, ""base_degree"": 10, ""blocked"": true, ""distance"": 0.01394034399399791, ""id"": 130, ""reachable"": false}, {""active_degree"": 0, ""base_degree"": 11, ""blocked"": true, ""distance"": 0.04578877796729966, ""id"": 498, ""reachable"": false}]}",True,path_ready_exact_validated_preview_only,0,0,2.797024,True,83,0,1.6216959999999996,4,False,target_intersection_blocked_or_disconnected,55,696,10.651328,False,2,0,0.042943999999999996,0,
6,gng,35,277182,800,4550,1,1697.651392,"[0.1622375619994582, 0.0, 0.2540819536713998]","[0.0, -0.6806, 1.3613, 0.0, 0.8901, 0.0]","[0.08711878099972911, 0.0, 0.3607909768356999]","{""active_edges_from_marker"": 3774, ""ambiguous_active_edge_pairs"": 0, ""start_component_size_after_obstacle"": 733, ""start_id"": 0, ""target_candidate_blocked_count"": 1, ""target_candidate_count"": 1, ""target_candidate_reachable_count"": 0, ""target_candidates"": [{""active_degree"": 0, ""base_degree"": 17, ""blocked"": true, ""distance"": 0.0, ""id"": 1, ""reachable"": false}]}",True,path_ready_exact_validated_preview_only,0,0,3.745696,True,113,0,2.4651199999999998,5,False,target_intersection_blocked_or_disconnected,64,776,11.479968,False,2,0,0.043712,0,
7,gng,37,293020,800,4533,1,1720.707776,"[0.1622375619994582, 0.0, 0.2540819536713998]","[0.0, -0.6806, 1.3613, 0.0, 0.8901, 0.0]","[0.08711878099972911, 0.0, 0.3607909768356999]","{""active_edges_from_marker"": 3881, ""ambiguous_active_edge_pairs"": 0, ""start_component_size_after_obstacle"": 755, ""start_id"": 0, ""target_candidate_blocked_count"": 1, ""target_candidate_count"": 2, ""target_candidate_reachable_count"": 0, ""target_candidates"": [{""active_degree"": 0, ""base_degree"": 26, ""blocked"": true, ""distance"": 0.0, ""id"": 1, ""reachable"": false}, {""active_degree"": 0, ""base_degree"": 8, ""blocked"": false, ""distance"": 0.021252457277167028, ""id"": 155, ""reachable"": false}]}",True,path_ready_exact_validated_preview_only,0,0,2.830336,True,84,0,1.6341759999999996,4,False,target_intersection_exact_blocked_or_disconnected,44,652,35.669568,False,191,1,9.256351999999996,0,
8,gng,44,348453,800,4548,2,1726.237792,"[0.1622375619994582, 0.0, 0.2540819536713998]","[0.0, -0.6806, 1.3613, 0.0, 0.8901, 0.0]","[0.08711878099972911, 0.0, 0.3607909768356999]","{""active_edges_from_marker"": 3890, ""ambiguous_active_edge_pairs"": 0, ""start_component_size_after_obstacle"": 753, ""start_id"": 0, ""target_candidate_blocked_count"": 1, ""target_candidate_count"": 1, ""target_candidate_reachable_count"": 0, ""target_candidates"": [{""active_degree"": 0, ""base_degree"": 23, ""blocked"": true, ""distance"": 0.0, ""id"": 1, ""reachable"": false}]}",True,path_ready_exact_validated_preview_only,0,0,2.387616,True,56,0,1.142944,4,False,target_intersection_blocked_or_disconnected,45,658,13.134752,False,2,0,0.042784,0,
9,gng,47,372210,800,4556,2,1716.345312,"[0.1622375619994582, 0.0, 0.2540819536713998]","[0.0, -0.6806, 1.3613, 0.0, 0.8901, 0.0]","[0.08711878099972911, 0.0, 0.3607909768356999]","{""active_edges_from_marker"": 3826, ""ambiguous_active_edge_pairs"": 0, ""start_component_size_after_obstacle"": 732, ""start_id"": 0, ""target_candidate_blocked_count"": 2, ""target_candidate_count"": 3, ""target_candidate_reachable_count"": 0, ""target_candidates"": [{""active_degree"": 0, ""base_degree"": 24, ""blocked"": true, ""distance"": 0.0, ""id"": 1, ""reachable"": false}, {""active_degree"": 0, ""base_degree"": 15, ""blocked"": true, ""distance"": 0.02708704694272466, ""id"": 216, ""reachable"": false}, {""active_degree"": 0, ""base_degree"": 10, ""blocked"": false, ""distance"": 0.04974634592837834, ""id"": 34, ""reachable"": false}]}",True,path_ready_exact_validated_preview_only,0,0,3.478432,True,92,0,2.039232,4,False,target_intersection_blocked_or_disconnected,66,730,18.547616,False,2,0,0.056576,0,
