run_index,stream_ordinal,roadmap_stream_id,method,method_order_position,ros_domain_id,reported_method,graph_revision,requested_node_count,anchor_node_count,prototype_budget,prototype_node_count,requested_guard_node_count,guard_node_count,fill_sample_node_count,candidate_attempts,halton_start_index,sample_stream_seed,sample_stream_type,gng_training_sample_count,effective_guard_fraction,nodes,edges,components,build_time_ms,joint_names,catalog_id,catalog_sha256,rmw_implementation,ros_localhost_only,launch_log,infrastructure_error
0,0,9000,gng,0,20,gng,1,800,2,798,798,0,0,0,4143,17,9000,digit_permuted_halton,4000,0.0,800,4541,2,1714.628096,"[""joint1"",""joint2"",""joint3"",""joint4"",""joint5"",""joint6""]",om6dof_scene_catalog_smoke_v1_20260824,4a180640428d0a8197538f4136aa3e379587061482bcd956daf354c7348ed6a1,rmw_fastrtps_cpp,True,/home/kublab/ros2_ws/reachability_multiscene_smoke_v1_20260824/logs/run_0000_stream_9000_gng_domain_20.log,
1,0,9000,guarded_gng,1,21,guarded_gng,1,800,2,199,199,599,599,0,4143,17,9000,digit_permuted_halton,4000,0.75,800,3626,15,1572.0024,"[""joint1"",""joint2"",""joint3"",""joint4"",""joint5"",""joint6""]",om6dof_scene_catalog_smoke_v1_20260824,4a180640428d0a8197538f4136aa3e379587061482bcd956daf354c7348ed6a1,rmw_fastrtps_cpp,True,/home/kublab/ros2_ws/reachability_multiscene_smoke_v1_20260824/logs/run_0001_stream_9000_guarded_gng_domain_21.log,
2,0,9000,halton_prm,2,22,halton_prm,1,800,2,0,0,0,0,798,827,17,9000,digit_permuted_halton,0,0.0,800,3280,9,1559.023392,"[""joint1"",""joint2"",""joint3"",""joint4"",""joint5"",""joint6""]",om6dof_scene_catalog_smoke_v1_20260824,4a180640428d0a8197538f4136aa3e379587061482bcd956daf354c7348ed6a1,rmw_fastrtps_cpp,True,/home/kublab/ros2_ws/reachability_multiscene_smoke_v1_20260824/logs/run_0002_stream_9000_halton_prm_domain_22.log,
3,1,9001,gng,0,23,gng,1,800,2,798,798,0,0,0,4136,17,9001,digit_permuted_halton,4000,0.0,800,4480,1,1675.20736,"[""joint1"",""joint2"",""joint3"",""joint4"",""joint5"",""joint6""]",om6dof_scene_catalog_smoke_v1_20260824,4a180640428d0a8197538f4136aa3e379587061482bcd956daf354c7348ed6a1,rmw_fastrtps_cpp,True,/home/kublab/ros2_ws/reachability_multiscene_smoke_v1_20260824/logs/run_0003_stream_9001_gng_domain_23.log,
4,1,9001,halton_prm,1,24,halton_prm,1,800,2,0,0,0,0,798,822,17,9001,digit_permuted_halton,0,0.0,800,3226,14,1365.745664,"[""joint1"",""joint2"",""joint3"",""joint4"",""joint5"",""joint6""]",om6dof_scene_catalog_smoke_v1_20260824,4a180640428d0a8197538f4136aa3e379587061482bcd956daf354c7348ed6a1,rmw_fastrtps_cpp,True,/home/kublab/ros2_ws/reachability_multiscene_smoke_v1_20260824/logs/run_0004_stream_9001_halton_prm_domain_24.log,
5,1,9001,guarded_gng,2,25,guarded_gng,1,800,2,199,199,599,599,0,4136,17,9001,digit_permuted_halton,4000,0.75,800,3527,18,1593.618432,"[""joint1"",""joint2"",""joint3"",""joint4"",""joint5"",""joint6""]",om6dof_scene_catalog_smoke_v1_20260824,4a180640428d0a8197538f4136aa3e379587061482bcd956daf354c7348ed6a1,rmw_fastrtps_cpp,True,/home/kublab/ros2_ws/reachability_multiscene_smoke_v1_20260824/logs/run_0005_stream_9001_guarded_gng_domain_25.log,
6,2,9002,guarded_gng,0,26,guarded_gng,1,800,2,199,199,599,599,0,4141,17,9002,digit_permuted_halton,4000,0.75,800,3601,14,1568.477632,"[""joint1"",""joint2"",""joint3"",""joint4"",""joint5"",""joint6""]",om6dof_scene_catalog_smoke_v1_20260824,4a180640428d0a8197538f4136aa3e379587061482bcd956daf354c7348ed6a1,rmw_fastrtps_cpp,True,/home/kublab/ros2_ws/reachability_multiscene_smoke_v1_20260824/logs/run_0006_stream_9002_guarded_gng_domain_26.log,
7,2,9002,gng,1,27,gng,1,800,2,798,798,0,0,0,4141,17,9002,digit_permuted_halton,4000,0.0,800,4546,2,1708.8224,"[""joint1"",""joint2"",""joint3"",""joint4"",""joint5"",""joint6""]",om6dof_scene_catalog_smoke_v1_20260824,4a180640428d0a8197538f4136aa3e379587061482bcd956daf354c7348ed6a1,rmw_fastrtps_cpp,True,/home/kublab/ros2_ws/reachability_multiscene_smoke_v1_20260824/logs/run_0007_stream_9002_gng_domain_27.log,
8,2,9002,halton_prm,2,28,halton_prm,1,800,2,0,0,0,0,798,827,17,9002,digit_permuted_halton,0,0.0,800,3222,8,1390.639168,"[""joint1"",""joint2"",""joint3"",""joint4"",""joint5"",""joint6""]",om6dof_scene_catalog_smoke_v1_20260824,4a180640428d0a8197538f4136aa3e379587061482bcd956daf354c7348ed6a1,rmw_fastrtps_cpp,True,/home/kublab/ros2_ws/reachability_multiscene_smoke_v1_20260824/logs/run_0008_stream_9002_halton_prm_domain_28.log,
9,3,9003,guarded_gng,0,29,guarded_gng,1,800,2,199,199,599,599,0,4143,17,9003,digit_permuted_halton,4000,0.75,800,3613,15,1575.723072,"[""joint1"",""joint2"",""joint3"",""joint4"",""joint5"",""joint6""]",om6dof_scene_catalog_smoke_v1_20260824,4a180640428d0a8197538f4136aa3e379587061482bcd956daf354c7348ed6a1,rmw_fastrtps_cpp,True,/home/kublab/ros2_ws/reachability_multiscene_smoke_v1_20260824/logs/run_0009_stream_9003_guarded_gng_domain_29.log,
