metric,label,direction,difference_definition,analysis_population,n_pairs,gng_mean,gng_sd,gng_median,gng_q1,gng_q3,halton_mean,halton_sd,halton_median,halton_q1,halton_q3,mean_paired_difference,mean_difference_ci_low,mean_difference_ci_high,median_paired_difference,median_difference_ci_low,median_difference_ci_high,rank_biserial,rank_biserial_ci_low,rank_biserial_ci_high,wilcoxon_statistic,p_raw,primary,p_holm_primary_family
components,Connected components,lower,Halton/PRM - GNG; positive favors GNG,all paired seeds,50,1.7,0.7889543583705186,2.0,1.0,2.0,11.82,3.028369265489806,12.0,10.0,13.0,10.12,9.22,11.02,10.0,9.0,11.0,1.0,1.0,1.0,0.0,7.182760030040482e-10,True,3.5913800150202413e-09
edges,Validated roadmap edges,higher,GNG - Halton/PRM; positive favors GNG,all paired seeds,50,4539.4,33.452372479239735,4539.5,4514.0,4559.75,3263.22,41.26731671155066,3268.5,3241.75,3287.5,1276.18,1261.48,1290.86,1266.5,1254.9750000000004,1288.5,1.0,1.0,1.0,0.0,7.543270531852816e-10,False,
build_time_ms,Roadmap build time (ms),lower,Halton/PRM - GNG; positive favors GNG,all paired seeds,50,1723.7754252799998,29.88152072915328,1722.61752,1704.966288,1737.561768,1413.57071616,33.868623823306976,1401.343008,1393.39864,1432.25348,-310.20470912,-321.852900832,-297.558431184,-313.50420800000006,-326.280704,-300.623104,-1.0,-1.0,-1.0,0.0,7.556929455863566e-10,True,3.5913800150202413e-09
clear_planning_time_ms,Clear-scene planning time (ms),lower,Halton/PRM - GNG; positive favors GNG,both methods clear_valid=true,50,3.2478464000000002,0.5198804109794514,3.15616,2.93084,3.448832,3.38984448,0.9211973464779243,3.180336,2.6598960000000003,3.757048,0.14199808000000005,-0.1517764959999999,0.4462645119999998,0.0035519999999999996,-0.2512960000000002,0.3282560000000001,0.09333333333333334,-0.22666666666666666,0.3992549019607838,578.0,0.5657173945054648,True,0.5657173945054648
clear_exact_checks,Clear exact state checks,lower,Halton/PRM - GNG; positive favors GNG,both methods clear_valid=true,50,93.6,14.349856004397353,93.0,84.25,105.75,89.58,20.592340561381516,90.5,76.25,105.5,-4.02,-11.08,3.1,-4.5,-14.0,7.0,-0.15591836734693879,-0.4627456195244055,0.16326530612244897,539.0,0.34407869587535445,False,
clear_exact_time_ms,Clear exact validation time (ms),lower,Halton/PRM - GNG; positive favors GNG,both methods clear_valid=true,50,1.91953024,0.3666674398172616,1.8686880000000001,1.6980320000000004,2.1407279999999993,2.22671296,0.7539615594737711,2.1575520000000004,1.6653599999999997,2.5736480000000004,0.30718272000000024,0.08074286400000019,0.543193056,0.24208000000000096,-0.007039999999999824,0.4731680000000005,0.38823529411764707,0.08705882352941176,0.6533725490196073,390.0,0.01688572946162479,False,
clear_path_nodes,Clear path nodes,lower,Halton/PRM - GNG; positive favors GNG,both methods clear_valid=true,50,4.24,0.4763809143009448,4.0,4.0,4.75,4.1,0.5439837932759934,4.0,4.0,4.0,-0.14,-0.32,0.06,0.0,0.0,0.0,-0.36764705882352944,-0.8461538461538461,0.15384615384615385,213.0,0.1361975937842853,False,
dynamic_planning_time_ms,Dynamic planning time (ms),lower,Halton/PRM - GNG; positive favors GNG,both methods dynamic_valid=true,42,22.193782857142857,6.549033893740644,20.053024,16.788152,26.696936,25.088697904761904,11.333057139663225,21.844576,16.97604,31.675784,2.894915047619047,-0.4353555619047618,6.730930647619043,2.568368000000002,-0.2954239999999997,5.380831999999999,0.23145071982281284,-0.10963455149501661,0.5592469545957918,347.0,0.19133743144217152,True,0.38267486288434305
dynamic_exact_checks,Dynamic exact state checks,lower,Halton/PRM - GNG; positive favors GNG,both methods dynamic_valid=true,42,166.02380952380952,57.84398195619143,156.0,131.5,177.75,209.71428571428572,102.73629176001683,188.0,164.0,210.25,43.69047619047619,13.023214285714296,80.2398809523808,29.5,4.5,56.5,0.5393133997785161,0.2292358803986711,0.8028792912513842,208.0,0.002327960831324847,False,
dynamic_exact_time_ms,Dynamic exact validation time (ms),lower,Halton/PRM - GNG; positive favors GNG,both methods dynamic_valid=true,42,5.582566095238095,2.25269785645641,5.133407999999999,3.9033279999999997,6.855263999999998,9.456103619047619,7.359045281426112,7.984144000000001,5.120656,10.515512000000001,3.873537523809525,1.9363464190476207,6.345247733333334,2.501055999999997,0.7649280000000012,4.237488000000001,0.6810631229235881,0.42414174972314506,0.8737541528239202,144.0,0.00012061312193998492,False,
dynamic_path_nodes,Dynamic path nodes,lower,Halton/PRM - GNG; positive favors GNG,both methods dynamic_valid=true,42,6.690476190476191,1.456492533252155,6.0,6.0,8.0,6.285714285714286,0.9947597892594605,6.0,6.0,7.0,-0.40476190476190477,-0.9285714285714286,0.11904761904761904,-0.5,-1.0,0.0,-0.27807486631016043,-0.6344937055281883,0.10484697544707021,310.5,0.13334973810346182,False,
