constant_axis,constant_mm,total,position_found,pose_found,position_percent,pose_percent,pose_near_singular,orientation_unresolved,collision_candidates_only,position_unresolved,witness_margin_below_1deg,svg
X,-475.000000,81,0,0,0.00000,0.00000,0,0,0,81,0,slices/X_minus_475mm.svg
X,-450.000000,193,0,0,0.00000,0.00000,0,0,0,193,0,slices/X_minus_450mm.svg
X,-425.000000,301,0,0,0.00000,0.00000,0,0,0,301,0,slices/X_minus_425mm.svg
X,-400.000000,421,0,0,0.00000,0.00000,0,0,0,421,0,slices/X_minus_400mm.svg
X,-375.000000,505,21,0,4.15842,0.00000,0,21,0,484,3,slices/X_minus_375mm.svg
X,-350.000000,593,114,0,19.22428,0.00000,0,114,0,479,12,slices/X_minus_350mm.svg
X,-325.000000,673,202,0,30.01486,0.00000,0,202,0,471,23,slices/X_minus_325mm.svg
X,-300.000000,761,283,0,37.18791,0.00000,0,283,0,478,23,slices/X_minus_300mm.svg
X,-275.000000,845,353,0,41.77515,0.00000,0,353,0,492,17,slices/X_minus_275mm.svg
X,-250.000000,885,423,0,47.79661,0.00000,0,423,0,462,28,slices/X_minus_250mm.svg
X,-225.000000,965,482,0,49.94819,0.00000,0,482,0,483,15,slices/X_minus_225mm.svg
X,-200.000000,1005,540,0,53.73134,0.00000,0,540,0,465,31,slices/X_minus_200mm.svg
X,-175.000000,1057,579,0,54.77767,0.00000,0,579,0,478,24,slices/X_minus_175mm.svg
X,-150.000000,1101,617,0,56.03996,0.00000,0,617,0,484,34,slices/X_minus_150mm.svg
X,-125.000000,1129,647,0,57.30735,0.00000,0,647,0,482,39,slices/X_minus_125mm.svg
X,-100.000000,1177,675,0,57.34919,0.00000,0,675,0,502,51,slices/X_minus_100mm.svg
X,-75.000000,1201,698,10,58.11823,0.83264,2,688,3,500,56,slices/X_minus_75mm.svg
X,-50.000000,1201,705,10,58.70108,0.83264,2,695,6,490,63,slices/X_minus_50mm.svg
X,-25.000000,1201,695,18,57.86844,1.49875,2,677,22,484,62,slices/X_minus_25mm.svg
X,0.000000,1209,701,66,57.98180,5.45906,2,635,26,482,90,slices/X_plus_0mm.svg
X,25.000000,1201,711,69,59.20067,5.74521,2,642,20,470,70,slices/X_plus_25mm.svg
X,50.000000,1201,715,204,59.53372,16.98585,10,511,13,473,42,slices/X_plus_50mm.svg
X,75.000000,1201,725,201,60.36636,16.73605,13,524,0,476,39,slices/X_plus_75mm.svg
X,100.000000,1177,709,199,60.23789,16.90739,8,510,0,468,30,slices/X_plus_100mm.svg
X,125.000000,1129,682,190,60.40744,16.82905,3,492,0,447,28,slices/X_plus_125mm.svg
X,150.000000,1101,655,207,59.49137,18.80109,22,448,0,446,23,slices/X_plus_150mm.svg
X,175.000000,1057,620,205,58.65658,19.39451,33,415,0,437,19,slices/X_plus_175mm.svg
X,200.000000,1005,580,201,57.71144,20.00000,20,379,0,425,17,slices/X_plus_200mm.svg
X,225.000000,965,538,213,55.75130,22.07254,22,325,0,427,15,slices/X_plus_225mm.svg
X,250.000000,885,480,215,54.23729,24.29379,14,265,0,405,9,slices/X_plus_250mm.svg
X,275.000000,845,423,235,50.05917,27.81065,7,188,0,422,21,slices/X_plus_275mm.svg
X,300.000000,761,353,250,46.38633,32.85151,9,103,0,408,12,slices/X_plus_300mm.svg
X,325.000000,673,283,203,42.05052,30.16345,8,80,0,390,7,slices/X_plus_325mm.svg
X,350.000000,593,198,143,33.38954,24.11467,5,55,0,395,6,slices/X_plus_350mm.svg
X,375.000000,505,108,85,21.38614,16.83168,8,23,0,397,0,slices/X_plus_375mm.svg
X,400.000000,421,17,11,4.03800,2.61283,5,6,0,404,0,slices/X_plus_400mm.svg
X,425.000000,301,0,0,0.00000,0.00000,0,0,0,301,0,slices/X_plus_425mm.svg
X,450.000000,193,0,0,0.00000,0.00000,0,0,0,193,0,slices/X_plus_450mm.svg
X,475.000000,81,0,0,0.00000,0.00000,0,0,0,81,0,slices/X_plus_475mm.svg
Y,-475.000000,81,0,0,0.00000,0.00000,0,0,0,81,0,slices/Y_minus_475mm.svg
Y,-450.000000,193,0,0,0.00000,0.00000,0,0,0,193,0,slices/Y_minus_450mm.svg
Y,-425.000000,301,0,0,0.00000,0.00000,0,0,0,301,0,slices/Y_minus_425mm.svg
Y,-400.000000,421,0,0,0.00000,0.00000,0,0,0,421,0,slices/Y_minus_400mm.svg
Y,-375.000000,505,65,18,12.87129,3.56436,5,47,0,440,9,slices/Y_minus_375mm.svg
Y,-350.000000,593,157,49,26.47555,8.26307,5,108,0,436,17,slices/Y_minus_350mm.svg
Y,-325.000000,673,241,77,35.80981,11.44131,4,164,0,432,21,slices/Y_minus_325mm.svg
Y,-300.000000,761,315,101,41.39290,13.27201,1,214,0,446,17,slices/Y_minus_300mm.svg
Y,-275.000000,845,388,113,45.91716,13.37278,4,275,0,457,30,slices/Y_minus_275mm.svg
Y,-250.000000,885,452,105,51.07345,11.86441,2,347,0,433,33,slices/Y_minus_250mm.svg
Y,-225.000000,965,507,103,52.53886,10.67358,3,404,0,458,24,slices/Y_minus_225mm.svg
Y,-200.000000,1005,556,92,55.32338,9.15423,2,464,0,449,28,slices/Y_minus_200mm.svg
Y,-175.000000,1057,601,86,56.85904,8.13623,1,515,0,456,28,slices/Y_minus_175mm.svg
Y,-150.000000,1101,633,101,57.49319,9.17348,7,532,0,468,30,slices/Y_minus_150mm.svg
Y,-125.000000,1129,675,115,59.78742,10.18601,8,560,0,454,30,slices/Y_minus_125mm.svg
Y,-100.000000,1177,690,110,58.62362,9.34579,11,580,0,487,23,slices/Y_minus_100mm.svg
Y,-75.000000,1201,709,111,59.03414,9.24230,13,598,0,492,28,slices/Y_minus_75mm.svg
Y,-50.000000,1201,719,113,59.86678,9.40883,13,606,3,479,38,slices/Y_minus_50mm.svg
Y,-25.000000,1201,707,115,58.86761,9.57535,11,592,25,469,45,slices/Y_minus_25mm.svg
Y,0.000000,1209,704,112,58.22994,9.26385,13,592,29,476,54,slices/Y_plus_0mm.svg
Y,25.000000,1201,706,116,58.78435,9.65862,11,590,27,468,45,slices/Y_plus_25mm.svg
Y,50.000000,1201,716,115,59.61699,9.57535,13,601,6,479,41,slices/Y_plus_50mm.svg
Y,75.000000,1201,711,112,59.20067,9.32556,12,599,0,490,41,slices/Y_plus_75mm.svg
Y,100.000000,1177,691,110,58.70858,9.34579,12,581,0,486,41,slices/Y_plus_100mm.svg
Y,125.000000,1129,674,115,59.69885,10.18601,12,559,0,455,27,slices/Y_plus_125mm.svg
Y,150.000000,1101,633,101,57.49319,9.17348,8,532,0,468,34,slices/Y_plus_150mm.svg
Y,175.000000,1057,601,86,56.85904,8.13623,3,515,0,456,38,slices/Y_plus_175mm.svg
Y,200.000000,1005,556,92,55.32338,9.15423,2,464,0,449,31,slices/Y_plus_200mm.svg
Y,225.000000,965,507,103,52.53886,10.67358,4,404,0,458,32,slices/Y_plus_225mm.svg
Y,250.000000,885,452,105,51.07345,11.86441,2,347,0,433,35,slices/Y_plus_250mm.svg
Y,275.000000,845,388,113,45.91716,13.37278,2,275,0,457,31,slices/Y_plus_275mm.svg
Y,300.000000,761,315,101,41.39290,13.27201,1,214,0,446,16,slices/Y_plus_300mm.svg
Y,325.000000,673,241,77,35.80981,11.44131,3,164,0,432,19,slices/Y_plus_325mm.svg
Y,350.000000,593,157,49,26.47555,8.26307,3,108,0,436,14,slices/Y_plus_350mm.svg
Y,375.000000,505,65,19,12.87129,3.76238,6,46,0,440,9,slices/Y_plus_375mm.svg
Y,400.000000,421,0,0,0.00000,0.00000,0,0,0,421,0,slices/Y_plus_400mm.svg
Y,425.000000,301,0,0,0.00000,0.00000,0,0,0,301,0,slices/Y_plus_425mm.svg
Y,450.000000,193,0,0,0.00000,0.00000,0,0,0,193,0,slices/Y_plus_450mm.svg
